                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5885,                0.52244,                 1.1391,                0.84705,                0.78517,                0.84479,                0.73276,                0.58628,                0.65404,                 1.1021,                 0.0001,                 0.0001,                 0.0001
                      2,                0.56225,                 0.4841,                 1.1192,                0.85264,                 0.8164,                 0.8648,                0.74766,                0.58091,                0.57863,                 1.0816,             0.00010248,             0.00010248,             0.00010248
                      3,                0.53911,                0.46359,                 1.1092,                0.85413,                0.82688,                0.87621,                0.75788,                0.56298,                0.56945,                 1.0742,                 0.0001,                 0.0001,                 0.0001
                      4,                0.52367,                0.44078,                 1.0899,                 0.8643,                0.81613,                0.87043,                0.76303,                0.54658,                0.55758,                  1.058,             9.2793e-05,             9.2793e-05,             9.2793e-05
                      5,                0.50931,                0.41643,                 1.0832,                0.88588,                 0.8331,                 0.8779,                0.77123,                0.54572,                0.51919,                 1.0552,             8.1567e-05,             8.1567e-05,             8.1567e-05
                      6,                0.49257,                0.39127,                 1.0669,                0.87957,                0.82522,                0.88168,                0.77849,                 0.5286,                0.52089,                  1.044,             6.7422e-05,             6.7422e-05,             6.7422e-05
                      7,                0.48258,                0.37639,                 1.0603,                0.86809,                0.84183,                0.87951,                0.77997,                0.51888,                0.50995,                 1.0327,             5.1742e-05,             5.1742e-05,             5.1742e-05
                      8,                0.47286,                0.35498,                 1.0508,                0.88372,                0.83484,                0.88429,                 0.7841,                0.52816,                0.51171,                 1.0425,             3.6062e-05,             3.6062e-05,             3.6062e-05
                      9,                0.45675,                0.33735,                 1.0407,                0.87855,                0.84089,                0.88877,                0.79285,                0.51248,                0.50316,                 1.0323,             2.1916e-05,             2.1916e-05,             2.1916e-05
                     10,                0.44769,                0.32508,                 1.0339,                0.87246,                0.84926,                0.88944,                0.79144,                0.50534,                0.49176,                 1.0212,             1.0691e-05,             1.0691e-05,             1.0691e-05
