                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00299,                 3.9143,                0.86781,                0.82848,                0.72283,                0.84907,                0.73304,                0.00331,                 5.3593,                0.89562,                  1e-05,                  1e-05,                  1e-05
                      2,                0.00294,                 3.0006,                0.86199,                0.82917,                 0.6898,                0.84721,                0.73225,                0.00331,                 5.8012,                0.89776,             1.0248e-05,             1.0248e-05,             1.0248e-05
                      3,                0.00292,                 2.8753,                0.86173,                0.82452,                0.66877,                0.84768,                0.73243,                0.00326,                 5.9179,                0.89149,                  1e-05,                  1e-05,                  1e-05
                      4,                0.00288,                 2.7865,                0.86004,                 0.8371,                0.65482,                0.85272,                0.73853,                0.00324,                 5.9178,                0.88883,             9.2793e-06,             9.2793e-06,             9.2793e-06
                      5,                0.00288,                 2.7634,                0.86146,                0.82424,                0.63974,                0.85085,                0.73514,                0.00324,                  6.092,                   0.89,             8.1567e-06,             8.1567e-06,             8.1567e-06
                      6,                0.00287,                 2.6992,                0.85967,                0.82845,                0.63821,                0.85341,                0.73653,                0.00324,                 6.0087,                0.88652,             6.7422e-06,             6.7422e-06,             6.7422e-06
                      7,                0.00286,                  2.668,                0.85641,                0.82318,                0.63573,                0.85288,                 0.7347,                0.00323,                 6.0445,                 0.8871,             5.1742e-06,             5.1742e-06,             5.1742e-06
                      8,                0.00286,                 2.6664,                0.85678,                0.83048,                0.62895,                0.85379,                0.73715,                0.00322,                 6.0756,                0.88486,             3.6062e-06,             3.6062e-06,             3.6062e-06
                      9,                0.00287,                 2.6838,                0.85466,                0.81921,                0.62977,                0.85385,                0.73843,                0.00324,                 6.0766,                0.88852,             2.1916e-06,             2.1916e-06,             2.1916e-06
                     10,                0.00284,                 2.6453,                0.85224,                0.82094,                0.63039,                0.85479,                0.74028,                0.00321,                 6.0484,                0.88611,             1.0691e-06,             1.0691e-06,             1.0691e-06
